# of Function,# of instructions,Load Store Registers (L/S Fully Aligned),                            Packed Operand (Non-L/S Semi Aligned),Optimized Operand (Non-L/S Fully Aligned),                            Load Store Operand (L/S Fully Aligned),Packed Data (Non-L/S Semi Aligned),                            Optimized Data (Non-L/S Fully Aligned),Load Store Data (L/S Fully Aligned),Packed Program (Non-L/S Semi Aligned),                            Optimized Program (Non-L/S Fully Aligned),Load Store Program (L/S Fully Aligned),Packed Total (Non-L/S Semi Aligned),                            Optimized Total (Non-L/S Fully Aligned),Load Store Total (L/S Fully Aligned),                            Optimized vs Packed,Optimized vs Load Store,                            L,S,C
39,10684,32,9,7,6,1872,1936,1784,235048,192312,226219.900739828,119396,98092,114893.950369914,0.821568561760863,0.853761226628398,39,26,34
59,14049,2,10,7,7,2336,2424,2336,337176,252882,337035.51,170924,128865,170853.755,0.753931571926704,0.754241544179113,48,35,41
38,10338,32,9,7,6,1896,1896,1824,227436,186084,220470.222188583,115614,94938,112059.111094291,0.821163526908506,0.847213573915601,32,45,19
59,16259,64,10,8,7,3424,3424,3184,390216,325180,352648.646972053,198532,166014,179508.323486027,0.836207764995064,0.924826196223279,64,55,62
50,12304,64,10,8,7,3304,3376,3280,295296,246080,289248.649600942,150952,126416,147904.324800471,0.837458264878902,0.85471469593969,64,58,50
45,10064,2,10,7,7,2560,2576,2464,241536,181152,241435.36,123328,93152,123181.68,0.75531914893617,0.756216346456713,56,28,42
23,6632,32,9,7,6,1704,1720,1592,145904,119376,148563.34708409,74656,61408,75873.6735420449,0.822546078011144,0.809345285831866,28,37,29
44,11540,2,10,7,7,2208,2208,2208,276960,207720,276844.6,140688,106068,140630.3,0.753923575571477,0.7542329071331,40,39,38
45,12202,2,9,7,7,1800,1832,1848,268444,219636,292725.98,136022,111650,148210.99,0.820823102145241,0.753317955706254,38,21,35
61,15173,32,10,7,7,2192,2192,2192,364152,273114,353991.962415112,184268,138749,179187.981207556,0.752973929276923,0.774320906262596,42,36,34
29,8048,64,10,8,6,2624,2664,2624,193152,160960,158925.667679487,99200,83144,82086.8338397436,0.838145161290323,1.01287863242868,55,36,41
